Date,Symbol,Open,High,Low,Close,Volume From,Volume To
2018-05-26 01-PM,BTCUSD,7529.4,7564.46,7501.7,7538.74,46.27,348169.9
2018-05-26 12-PM,BTCUSD,7533.86,7551.2,7486.98,7529.4,216.82,1628986.16
2018-05-26 11-AM,BTCUSD,7551.19,7569.77,7512.89,7533.86,279.84,2110352.35
2018-05-26 10-AM,BTCUSD,7545,7551.19,7512.5,7551.19,89.64,675163.24
2018-05-26 09-AM,BTCUSD,7541.17,7570,7532.55,7545,75.41,569127.86
2018-05-26 08-AM,BTCUSD,7550.15,7569.87,7524.46,7541.17,135.74,1024772.17
2018-05-26 07-AM,BTCUSD,7422.96,7622.87,7410.91,7550.15,567.19,4271356.25
2018-05-26 06-AM,BTCUSD,7445.7,7447.4,7406.09,7422.96,217.0,1611184.18
2018-05-26 05-AM,BTCUSD,7392.19,7447.39,7370.01,7445.7,170.16,1260161.12
2018-05-26 04-AM,BTCUSD,7447.51,7447.51,7375.65,7392.19,161.64,1196634.18
2018-05-26 03-AM,BTCUSD,7426.68,7447.51,7417.63,7447.51,37.64,279738.81
2018-05-26 02-AM,BTCUSD,7447.69,7453.1,7413.4,7426.68,62.91,467547.29
2018-05-26 01-AM,BTCUSD,7441.94,7471.96,7422.08,7447.69,111.87,832704.14
2018-05-26 12-AM,BTCUSD,7471.18,7471.18,7420.28,7441.94,313.16,2330645.09
2018-05-25 11-PM,BTCUSD,7405.44,7505.99,7379.38,7471.18,316.9,2361645.11
2018-05-25 10-PM,BTCUSD,7441.7,7450,7360.5,7405.44,148.65,1099484.55
2018-05-25 09-PM,BTCUSD,7455.49,7455.67,7413.03,7441.7,139.06,1033446.85
